,original_glcm_InverseVariance,original_glrlm_GrayLevelNonUniformityNormalized,original_shape_Elongation,original_shape_SurfaceVolumeRatio,original_glcm_Correlation,original_glrlm_RunLengthNonUniformity,original_glrlm_ShortRunEmphasis,original_shape_MajorAxisLength,original_shape_Maximum3DDiameter,original_gldm_GrayLevelNonUniformity,original_glcm_Idmn,original_shape_LeastAxisLength,original_glszm_ZoneEntropy,original_glrlm_GrayLevelNonUniformity,original_shape_MeshVolume,original_glrlm_RunPercentage,original_firstorder_Uniformity,original_glcm_JointEntropy,original_glcm_Imc1,original_shape_Maximum2DDiameterSlice,original_glcm_JointEnergy,original_shape_MinorAxisLength,original_glszm_GrayLevelNonUniformityNormalized,original_glcm_Idn,original_shape_SurfaceArea,original_glcm_MaximumProbability,original_shape_Sphericity,original_glrlm_LongRunEmphasis,original_glcm_Id,original_glrlm_RunEntropy,original_glrlm_RunVariance,original_shape_Flatness,original_glcm_Idm,original_glcm_SumEntropy,original_shape_VoxelVolume,original_glcm_MCC,original_firstorder_Kurtosis,original_gldm_DependenceNonUniformity,original_shape_Maximum2DDiameterColumn,original_ngtdm_Coarseness,original_glszm_LargeAreaHighGrayLevelEmphasis,original_firstorder_Entropy,original_shape_Maximum2DDiameterRow,original_ngtdm_Busyness,original_glszm_GrayLevelNonUniformity,original_gldm_LargeDependenceEmphasis,original_glcm_Imc2,original_gldm_DependenceEntropy,original_glrlm_RunLengthNonUniformityNormalized
Patient 1,0.241501891,0.035016142,0.814522329,0.201413157,0.837371722,10105.81267,0.935554687,60.41083164,76.08800891,472.8400916,0.986528929,32.51728737,7.223195011,418.1358276,56480.88058,0.911716157,0.036108445,9.376966613,-0.165577955,67.5418189,0.002792082,49.20597127,0.029135696,0.925862438,11375.99248,0.009967572,0.625790742,1.329471462,0.326874329,5.590679662,0.123501259,0.538269156,0.241427337,6.011764999,56711.13196,0.856873146,2.788182861,2195.246048,70.014145,0.001019844,39399.3879,5.121029914,69.193452,1.21611465,129.0419959,15.55883925,0.893187559,7.762084566,0.8455322
Patient 10,0.192164352,0.023676807,0.601118257,0.306246554,0.839209757,3932.564801,0.954271697,51.17164599,55.96860817,111.7052342,0.986626176,25.29362454,7.360273687,104.9029131,20277.82059,0.938921219,0.023671378,9.970876194,-0.197029211,36.62969424,0.001276644,30.76021065,0.024099377,0.920893739,6210.012679,0.004731409,0.579080786,1.208491716,0.28033342,5.855303837,0.072886878,0.494289837,0.189310199,6.453614581,20436.79509,0.845758832,2.206449233,1051.112736,50.55628349,0.003409456,9675.43765,5.526620166,55.51579955,0.258612616,50.05440539,8.827929646,0.936220056,7.77393094,0.887014106
Patient 11,0.356550346,0.083662895,0.601431236,0.199750954,0.617772584,7398.856071,0.885536893,61.91465891,77.16289847,1024.608944,0.993073197,35.83915256,6.792426335,830.5777412,50525.92301,0.847164869,0.087446355,7.170870758,-0.108468723,49.3327518,0.011582772,37.23740981,0.052767449,0.944595506,10092.60132,0.030495819,0.654873139,1.644409139,0.446365619,4.607939229,0.242052267,0.578847614,0.373516042,4.630683888,50743.3626,0.638003183,5.978523358,1267.815396,63.29775035,0.000839009,479339.6033,3.847744859,69.9951684,1.844096284,90.44340723,33.1589144,0.721593008,7.094284307,0.743466924
Patient 12,0.330775042,0.059538774,0.685427763,0.216916318,0.771789806,4383.501832,0.900986932,47.14966792,53.1189966,412.3340481,0.9913944,28.10224535,6.83088816,336.7762634,28132.71296,0.866182829,0.063154242,7.841958699,-0.168414146,39.18785781,0.008097825,32.31769139,0.042547517,0.93965534,6102.444509,0.025691148,0.733029347,1.543718988,0.416573883,5.018745398,0.204922344,0.596022127,0.340177497,5.177212441,28275.44716,0.78132508,4.35466622,771.0493184,51.80221038,0.001794194,117195.4357,4.341085871,52.49004953,0.965982412,54.58846454,27.59212743,0.860149533,7.356627731,0.77360269
Patient 13,0.246701116,0.043701231,0.846448112,0.199509047,0.705655813,7473.22172,0.931961084,49.18719958,62.04714417,436.3509488,0.989188374,31.13056341,7.073257591,389.5441974,42280.54162,0.909312071,0.044516522,8.759601961,-0.123875807,49.49405823,0.00342526,41.63441221,0.037194709,0.929630489,8435.350585,0.010014269,0.695784391,1.331147889,0.337181509,5.200866206,0.11864899,0.632899691,0.248119527,5.536712945,42449.98209,0.715064883,3.483673005,1608.637829,56.93345238,0.001125122,21817.98713,4.716098437,61.50955698,1.061601948,109.7987805,15.17220975,0.809685791,7.387072899,0.837412439
Patient 14,0.180442381,0.030615786,0.464830432,0.276666074,0.661155807,2598.910792,0.958960967,46.54234391,53.44312397,94.90525972,0.980882727,19.24594595,7.027258818,88.53023261,13149.41103,0.944663634,0.031004659,9.60229877,-0.14270411,28.51335477,0.001824401,21.63429782,0.027485416,0.908801659,3637.995922,0.006298861,0.740558635,1.189250504,0.263694403,5.515474174,0.067048206,0.413514755,0.174337062,5.996924204,13256.41657,0.685189884,2.71383872,733.1339432,46.67609667,0.003561436,4076.276343,5.204910547,45.0835724,0.334460601,39.38660154,7.854622672,0.866022826,7.310835716,0.898132811
Patient 15,0.214295593,0.032756427,0.700045727,0.189589021,0.757663878,8761.861885,0.94533537,55.44736411,64.91412327,359.9433477,0.990071129,34.84232679,7.357207198,330.7399951,47000.5145,0.927095767,0.033049614,9.464652013,-0.146774261,49.3327518,0.002032151,38.81569033,0.029457859,0.931574676,8910.781524,0.005771239,0.706811169,1.257179688,0.301917593,5.552890739,0.091159411,0.628385629,0.2104544,6.010693734,47166.16558,0.764986564,3.299074857,2123.811863,60.85818433,0.001141483,12889.25006,5.152030236,64.58585759,0.657814335,117.9198101,11.05913139,0.866542345,7.609251863,0.86685638
Patient 17,0.231836132,0.041157831,0.954594717,0.246978674,0.691974667,4435.926351,0.939904985,42.08309932,52.28718868,235.0255364,0.987397199,22.61601347,6.917517681,213.4699425,24268.24305,0.919762096,0.041678584,8.962114042,-0.124043058,48.92715912,0.002934476,40.1723043,0.036830594,0.92442195,5993.738481,0.009132255,0.676309091,1.285479015,0.319916935,5.243168099,0.101530311,0.537413209,0.230618206,5.649362763,24421.08233,0.700091996,3.394127047,1019.305373,46.16095536,0.001886504,8358.043633,4.812661669,46.13216774,0.740904737,72.59309995,13.08370278,0.819188667,7.34397345,0.85457668
Patient 18,0.23236342,0.038024837,0.481076833,0.389117405,0.731144212,2942.689423,0.945503957,61.03983457,73.85537015,142.05171,0.989810265,20.64427432,6.964945185,128.9091342,15584.73442,0.927517626,0.038865037,9.010457407,-0.159942259,39.18785781,0.003054181,29.36485028,0.030535569,0.93354212,6064.291415,0.010613512,0.497550307,1.253722144,0.318817957,5.366677686,0.089148521,0.338209867,0.229657387,5.766195734,15828.88029,0.752499756,3.611316668,697.7534884,70.76903631,0.003124505,9003.933054,4.969752161,70.39260259,0.296883198,43.78800558,11.24459644,0.878860978,7.352001576,0.867197121
Patient 19,0.265627144,0.051166952,0.539063075,0.19719495,0.667527548,14223.38333,0.92691512,83.26722936,97.44619336,997.1771594,0.990016963,36.80794511,7.009025553,879.0210532,82111.50446,0.90201345,0.052359,8.455363438,-0.109147075,62.06855081,0.004486823,44.8862887,0.040292888,0.932415042,16191.97406,0.012604762,0.56422674,1.366198627,0.353691676,5.057846041,0.13309196,0.442045993,0.266216816,5.33637443,82479.07662,0.672340115,3.921293765,2926.158309,88.9806833,0.000539232,62310.73073,4.536425348,93.70728093,2.563623984,211.1347328,17.03917039,0.764789902,7.317728557,0.826739846
